 INFO  Accepting connections at http://localhost:8082
 HTTP  3/17/2026 11:16:46 PM ::1 GET /
 HTTP  3/17/2026 11:16:46 PM ::1 Returned 200 in 41 ms
 HTTP  3/17/2026 11:16:46 PM ::1 GET /css/index.css?v=FINAL_FORCE_RECOVERY_31
 HTTP  3/17/2026 11:16:46 PM ::1 GET /css/layout.css?v=FINAL_FORCE_RECOVERY_31
 HTTP  3/17/2026 11:16:46 PM ::1 GET /css/components.css?v=FINAL_FORCE_RECOVERY_31
 HTTP  3/17/2026 11:16:46 PM ::1 GET /js/supabase-config.js?v=neo-99-RECOVERY14
 HTTP  3/17/2026 11:16:46 PM ::1 GET /js/fastclick.min.js?v=FINAL_FORCE_RECOVERY_30
 HTTP  3/17/2026 11:16:46 PM ::1 Returned 200 in 7 ms
 HTTP  3/17/2026 11:16:46 PM ::1 GET /lib/utils.js
 HTTP  3/17/2026 11:16:46 PM ::1 Returned 200 in 2 ms
 HTTP  3/17/2026 11:16:46 PM ::1 Returned 200 in 4 ms
 HTTP  3/17/2026 11:16:46 PM ::1 Returned 200 in 2 ms
 HTTP  3/17/2026 11:16:46 PM ::1 Returned 200 in 3 ms
 HTTP  3/17/2026 11:16:46 PM ::1 GET /lib/cloud/googleDrive.js
 HTTP  3/17/2026 11:16:46 PM ::1 GET /js/store.js?v=NEO_SAFE_11
 HTTP  3/17/2026 11:16:46 PM ::1 Returned 200 in 2 ms
 HTTP  3/17/2026 11:16:46 PM ::1 GET /js/gemini.js?v=NEO_SAFE_11
 HTTP  3/17/2026 11:16:46 PM ::1 GET /js/neo-brain.js?v=NEO_SAFE_11
 HTTP  3/17/2026 11:16:46 PM ::1 GET /js/doc-engine.js?v=NEO_SAFE_11
 HTTP  3/17/2026 11:16:46 PM ::1 Returned 200 in 4 ms
 HTTP  3/17/2026 11:16:46 PM ::1 Returned 200 in 4 ms
 HTTP  3/17/2026 11:16:46 PM ::1 GET /js/i18n.js?v=neo-99-RECOVERY11
 HTTP  3/17/2026 11:16:46 PM ::1 Returned 200 in 3 ms
 HTTP  3/17/2026 11:16:46 PM ::1 Returned 200 in 3 ms
 HTTP  3/17/2026 11:16:46 PM ::1 Returned 200 in 2 ms
 HTTP  3/17/2026 11:16:46 PM ::1 GET /js/app.js?v=NEO_SAFE_11
 HTTP  3/17/2026 11:16:46 PM ::1 Returned 200 in 2 ms
 HTTP  3/17/2026 11:16:46 PM ::1 GET /pages/chat.js?v=ROUTER_1
 HTTP  3/17/2026 11:16:46 PM ::1 Returned 200 in 7 ms
